datum_mutatie;code_oud;gm_naam_oud;code_nieuw;gm_naam_nieuw;Provincie ;Opmerking
01-01-2012;366;Anna Paulowna ;1911;Hollands Kroon ;NH. ;
01-01-2012;412;Niedorp ;1911;Hollands Kroon ;NH. ;
01-01-2012;462;Wieringen ;1911;Hollands Kroon ;NH. ;
01-01-2012;463;Wieringermeer ;1911;Hollands Kroon ;NH. ;
01-01-2013;395;Harenkarspel ;441;Schagen ;NH ;
01-01-2013;441;Schagen ;441;Schagen ;NH ;
01-01-2013;476;Zijpe ;441;Schagen ;NH ;
01-01-2013;504;Dirksland ;1924;Goeree-Overflakkee ;ZH ;
01-01-2013;511;Goedereede ;1924;Goeree-Overflakkee ;ZH ;
01-01-2013;559;Middelharnis ;1924;Goeree-Overflakkee ;ZH ;
01-01-2013;580;Oostflakkee ;1924;Goeree-Overflakkee ;ZH ;
01-01-2013;693;Graafstroom ;1927;Molenwaard ;ZH ;
01-01-2013;694;Liesveld ;1927;Molenwaard ;ZH ;
01-01-2013;571;Nieuw-Lekkerland ;1927;Molenwaard ;ZH ;
01-01-2014;484;Alphen aan den Rijn ;484;Alphen aan den Rijn ;ZH ;
01-01-2014;499;Boskoop ;484;Alphen aan den Rijn ;ZH ;
01-01-2014;1672;Rijnwoude ;484;Alphen aan den Rijn ;ZH ;
01-01-2014;653;Gaasterlân-Sleat ;1921;De Friese Meren ;F ;
01-01-2014;82;Lemsterland ;1921;De Friese Meren ;F ;
01-01-2014;51;Skasterlân ;1921;De Friese Meren ;F ;
01-01-2014;55;Boarnsterhim1) ;1921;De Friese Meren ;F ;
01-01-2014;80;Leeuwarden ;80;Leeuwarden ;F ;
01-01-2014;74;Heerenveen ;74;Heerenveen ;F ;
01-01-2014;55;Boarnsterhim1) ; ;Leeuwarden/Heerenveen ;F ;
01-01-2015;361;Alkmaar ;361;Alkmaar ;NH;
01-01-2015;365;Graft-De Rijp ;361;Alkmaar ;NH;
01-01-2015;458;Schermer ;361;Alkmaar ;NH;
01-01-2015;241;Groesbeek ;241;Groesbeek ;Gld;
01-01-2015;265;Millingen aan de Rijn ;241;Groesbeek ;Gld;
01-01-2015;282;Ubbergen ;241;Groesbeek ;Gld;
01-01-2015;568;Bernisse ;1930;Nissewaard  ;ZH;
01-01-2015;612;Spijkenisse ;1930;Nissewaard  ;ZH;
01-01-2015;491;Bergambacht ;1931;Krimpenerwaard  ;ZH;
01-01-2015;643;Nederlek ;1931;Krimpenerwaard  ;ZH;
01-01-2015;644;Ouderkerk ;1931;Krimpenerwaard  ;ZH;
01-01-2015;608;Schoonhoven ;1931;Krimpenerwaard  ;ZH;
01-01-2015;623;Vlist ;1931;Krimpenerwaard  ;ZH;
01-01-2015;796;'s-Hertogenbosch ;796;'s-Hertogenbosch  ;NB;
01-01-2015;828;Oss ;828;Oss  ;NB;
01-01-2015;1671;Maasdonk ;  ;'s-Hertogenbosch/Oss  ;NB;
01-07-2015;1921;De Friese Meren;1940;De Fryske Marren;F; ¹ De opheffing van gemeente De Friese Meren en de vorming van de gemeente De Fryske Marren hebben reeds op 1 juli 2015 plaatsgevonden. CBS gaat in haar publicaties uit van de gemeentelijke indeling op 1 januari.
01-01-2016;241;Groesbeek;1945;Berg en Dal;Gld;
01-01-2016;381;Bussum;1942;Gooise Meren;NH;
01-01-2016;424;Muiden;1942;Gooise Meren;NH;
01-01-2016;425;Naarden;1942;Gooise Meren;NH;
01-01-2016;385;Edam-Volendam;385;Edam-Volendam;NH;
01-01-2016;478;Zeevang;385;Edam-Volendam;NH;
01-01-2017;844;Schijndel;1948;Meierijstad;NB;
01-01-2017;846;Sint-Oedenrode;1948;Meierijstad;NB;
01-01-2017;860;Veghel;1948;Meierijstad;NB;
